"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Said\Desktop\promoted\mobile_app\lib\Map\map.dart", "Dart", 46, 0, 9, 55
"c:\Users\Said\Desktop\promoted\mobile_app\lib\UserInterface\catalog.dart", "Dart", 117, 1, 5, 123
"c:\Users\Said\Desktop\promoted\mobile_app\lib\UserInterface\components\catalog_card.dart", "Dart", 72, 0, 6, 78
"c:\Users\Said\Desktop\promoted\mobile_app\lib\UserInterface\components\catalog_card_green.dart", "Dart", 81, 0, 5, 86
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\drop_down_field.dart", "Dart", 47, 56, 9, 112
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\filled_outline_button.dart", "Dart", 32, 0, 5, 37
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\primary_button.dart", "Dart", 31, 0, 5, 36
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_button.dart", "Dart", 42, 2, 5, 49
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_button_add.dart", "Dart", 40, 2, 5, 47
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_button_add_comment.dart", "Dart", 39, 3, 5, 47
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_button_delete.dart", "Dart", 39, 3, 5, 47
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_image_field.dart", "Dart", 105, 0, 10, 115
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_input_client_field.dart", "Dart", 25, 0, 3, 28
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_input_date_period_picker.dart", "Dart", 80, 2, 7, 89
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_input_date_picker.dart", "Dart", 110, 2, 9, 121
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_input_field.dart", "Dart", 31, 0, 3, 34
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_input_name_edit_field.dart", "Dart", 38, 0, 4, 42
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_input_name_field.dart", "Dart", 33, 0, 4, 37
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_input_type_field.dart", "Dart", 26, 0, 3, 29
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_mail_input.dart", "Dart", 70, 0, 5, 75
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_password_field.dart", "Dart", 50, 0, 6, 56
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_search_field.dart", "Dart", 32, 0, 3, 35
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\rounded_select_field.dart", "Dart", 229, 5, 30, 264
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\text_field_Name_container.dart", "Dart", 25, 0, 3, 28
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\text_field_add_emp_container.dart", "Dart", 23, 0, 3, 26
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\text_field_add_user.dart", "Dart", 24, 0, 3, 27
"c:\Users\Said\Desktop\promoted\mobile_app\lib\components\text_field_container.dart", "Dart", 27, 0, 3, 30
"c:\Users\Said\Desktop\promoted\mobile_app\lib\config\palette.dart", "Dart", 4, 0, 2, 6
"c:\Users\Said\Desktop\promoted\mobile_app\lib\config\styles.dart", "Dart", 16, 0, 4, 20
"c:\Users\Said\Desktop\promoted\mobile_app\lib\constants.dart", "Dart", 10, 0, 4, 14
"c:\Users\Said\Desktop\promoted\mobile_app\lib\data\data.dart", "Dart", 1, 0, 1, 2
"c:\Users\Said\Desktop\promoted\mobile_app\lib\firebase_options.dart", "Dart", 49, 13, 6, 68
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\cancel_circled.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\check_circle.dart", "Dart", 7, 19, 4, 30
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\dot.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\info.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\minus_circled.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\more.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\pencil_circeled.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\plus.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\plus_date.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\plus_slim.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\flutter-icons\plus_slim_2.dart", "Dart", 8, 19, 4, 31
"c:\Users\Said\Desktop\promoted\mobile_app\lib\main.dart", "Dart", 30, 4, 4, 38
"c:\Users\Said\Desktop\promoted\mobile_app\lib\main.reflectable.dart", "Dart", 0, 1, 0, 1
"c:\Users\Said\Desktop\promoted\mobile_app\lib\models\Chat.dart", "Dart", 69, 0, 3, 72
"c:\Users\Said\Desktop\promoted\mobile_app\lib\models\ChatMessage.dart", "Dart", 58, 0, 4, 62
"c:\Users\Said\Desktop\promoted\mobile_app\lib\models\catalog.dart", "Dart", 50, 0, 3, 53
"c:\Users\Said\Desktop\promoted\mobile_app\lib\models\employees.dart", "Dart", 15, 17, 7, 39
"c:\Users\Said\Desktop\promoted\mobile_app\lib\models\user.dart", "Dart", 15, 0, 4, 19
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Addtask\add_task.dart", "Dart", 236, 4, 8, 248
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Addtask\dialog_coment.dart", "Dart", 107, 1, 3, 111
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Addtask\dialog_coment_sent.dart", "Dart", 108, 0, 3, 111
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Addtask\dialogbar.dart", "Dart", 62, 0, 3, 65
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Addtask\task.dart", "Dart", 383, 0, 4, 387
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\EmployeList\components\dialog_delete.dart", "Dart", 117, 1, 8, 126
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\EmployeList\components\edit_employee_card.dart", "Dart", 119, 0, 5, 124
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\EmployeList\components\employee_card.dart", "Dart", 65, 0, 5, 70
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\EmployeList\employelist.dart", "Dart", 129, 2, 7, 138
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Home\components\home_card.dart", "Dart", 138, 0, 5, 143
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Home\home.dart", "Dart", 490, 12, 11, 513
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Home\wrapper.dart", "Dart", 45, 3, 9, 57
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Login\components\background.dart", "Dart", 23, 0, 3, 26
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Login\components\body.dart", "Dart", 131, 2, 11, 144
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Login\login_screen.dart", "Dart", 11, 0, 3, 14
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Messages\components\audio_message.dart", "Dart", 64, 0, 4, 68
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Messages\components\body.dart", "Dart", 25, 0, 3, 28
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Messages\components\chat_input_field.dart", "Dart", 83, 0, 4, 87
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Messages\components\message.dart", "Dart", 79, 0, 9, 88
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Messages\components\text_message.dart", "Dart", 31, 0, 5, 36
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Messages\components\video_message.dart", "Dart", 35, 0, 3, 38
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Messages\message_screen.dart", "Dart", 51, 0, 5, 56
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Messages\messages.dart", "Dart", 20, 0, 4, 24
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Navbar\bottom_nav_bar.dart", "Dart", 75, 0, 6, 81
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Navbar\bottom_nav_bar_emp.dart", "Dart", 58, 0, 6, 64
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\NewUser\new_user.dart", "Dart", 387, 0, 31, 418
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\NewUser\update_user.dart", "Dart", 401, 0, 34, 435
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Notification\notification.dart", "Dart", 20, 0, 4, 24
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Position\position.dart", "Dart", 20, 0, 4, 24
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\Settinges\settings.dart", "Dart", 43, 0, 4, 47
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\chats\chats_screen.dart", "Dart", 16, 0, 4, 20
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\chats\components\body.dart", "Dart", 33, 0, 4, 37
"c:\Users\Said\Desktop\promoted\mobile_app\lib\screens\chats\components\chat_card.dart", "Dart", 79, 0, 5, 84
"c:\Users\Said\Desktop\promoted\mobile_app\lib\services\auth.dart", "Dart", 93, 7, 10, 110
"c:\Users\Said\Desktop\promoted\mobile_app\lib\services\database.dart", "Dart", 50, 31, 9, 90
"c:\Users\Said\Desktop\promoted\mobile_app\lib\src\locations.dart", "Dart", 82, 2, 16, 100
"c:\Users\Said\Desktop\promoted\mobile_app\lib\src\locations.g.dart", "Dart", 61, 4, 11, 76
"c:\Users\Said\Desktop\promoted\mobile_app\lib\stats\stats_screen.dart", "Dart", 91, 16, 6, 113
"c:\Users\Said\Desktop\promoted\mobile_app\lib\widgets\custom_app_bar.dart", "Dart", 21, 0, 3, 24
"c:\Users\Said\Desktop\promoted\mobile_app\lib\widgets\stats_grid.dart", "Dart", 64, 0, 3, 67
"c:\Users\Said\Desktop\promoted\mobile_app\lib\widgets\tasks_bar_chart.dart", "Dart", 114, 0, 4, 118
"c:\Users\Said\Desktop\promoted\mobile_app\lib\widgets\widgets.dart", "Dart", 3, 0, 1, 4
"Total", "-", 6181, 405, 539, 7125